Pm-3n 223
p31m 157
P4322 95
I-4c2 120
I-42d 122
Pmmm 47
P6mm 183
P422 89
P42/mbc 135
p2 3
P-1 2
P-31m 162
P4/nnc 126
P2221 17
P4122 91
I41cd 110
F4132 210
P3112 151
P42/mmc 131
P42/n 86
Pn-3m 224
P4/mmm 123
I41/a 88
Pbca 61
P432 207
P4/mcc 124
Pcca 54
I4122 98
Cccm 66
P6/mcc 192
Ia-3d 230
I-42m 121
P42/nmc 137
Pbcn 60
P63/mmc 194
F432 209
P6422 181
I-43m 217
R32 155
P622 177
I212121 24
R-3 148
Fdd2 43
Pa-3 205
P4/nbm 125
I213 199
P23 195
P-4n2 118
Pm-3 200
Ima2 46
P-62m 189
P4232 208
I41md 109
P-3c1 165
Pccn 56
P43212 96
I41/acd 142
P6322 182
Cmmm 65
P61 169
P4/mnc 128
Fm-3m 225
P-43n 218
P42/nnm 134
Cmcm 63
P6522 179
Fmmm 69
I-4m2 119
Im-3m 229
I23 197
Pn-3n 222
Pmna 53
R3m 160
P3221 154
P42/mcm 132
P-4c2 116
Pnn2 34
Immm 71
p6mm 183
I-43d 220
P4222 93
P43 78
P4/nmm 129
R-3c 167
F222 22
P4132 213
P-31c 163
Pnma 62
Fm-3 202
Ama2 40
P3121 152
pm 6
P42/nbc 133
Pnnm 58
Pnnn 48
P42/ncm 138
P41212 92
P213 198
R-3m 166
I41 80
Pnna 52
P6122 178
Pban 50
I4132 214
I422 97
Amm2 38
Pbcm 57
Imm2 44
P4332 212
P42nm 102
Pmma 51
Pccm 49
Im-3 204
P-43m 215
P4/ncc 130
I4cm 108
Fm-3c 226
Pm-3m 221
Ia-3 206
Fd-3 203
Fd-3c 228
P3212 153
C222 21
I4/mmm 139
I-4 82
p3m1 156
P6222 180
I432 211
Ibca 73
Fd-3m 227
P-4m2 115
P-3m1 164
P6/mmm 191
I41/amd 141
C2221 20
Imma 74
P-421c 114
cm 8
P42212 94
Cmc21 36
P62 171
P63/mcm 193
R3 146
P4/mbm 127
P63/m 176
P4/n 85
I4/mcm 140
R3c 161
P6/m 175
P42/mnm 136
p4mm 99
p6 168
Ibam 72
P42/m 84
Fddd 70
P-6m2 187
F-43m 216
Pna21 33
P-62c 190
I4/m 87
