symbol,radius,angle,coordination
H_,0.354,180,0
H_b,0.46,83.5,2
He4+4,0.849,90,0
Li,1.336,180,0
Be3+2,1.074,109.47,0
B_3,0.838,109.47,3
B_2,0.828,120,3
C_3,0.757,109.47,4
C_R,0.729,120,3
C_2,0.732,120,3
C_1,0.706,180,0
N_3,0.7,106.7,3
N_R,0.699,120,3
N_2,0.685,111.2,2
N_1,0.656,180,0
O_3,0.658,104.51,2
O_3_z,0.528,145.45,2
O_R,0.68,110,2
O_2,0.634,120,1
O_1,0.639,180,1
F_,0.668,180,0
Ne4+4,0.92,90,0
Na,1.539,180,0
Mg3+2,1.421,109.47,0
Al3,1.244,109.47,0
Al6,1.95,90,0
Si3,1.117,109.47,4
P_3+3,1.101,93.8,3
P_3+5,1.056,109.47,4
P_3+q,1.056,109.47,4
S_3+2,1.064,92.1,2
S_3+4,1.049,103.2,4
S_3+6,1.027,109.47,4
S_R,1.077,92.2,2
S_2,0.854,120,2
Cl,1.044,180,0
Ar4+4,1.032,90,0
K_,1.953,180,0
Ca6+2,1.761,90,0
Sc3+3,1.513,109.47,0
Ti3+4,1.412,109.47,0
Ti6+4,1.412,90,0
V_3+5,1.402,109.47,0
Cr6+3,1.345,90,0
Mn6+2,1.382,90,0
Fe3+2,1.27,109.47,0
Fe6+2,1.335,90,0
Co6+3,1.241,90,0
Ni4+2,1.164,90,0
Cu3+1,1.302,109.47,0
Zn3+2,1.193,109.47,0
Ga3+3,1.26,109.47,0
Ge3,1.197,109.47,4
As3+3,1.211,92.1,3
Se3+2,1.19,90.6,2
Br,1.192,180,0
Kr4+4,1.147,90,0
Rb,2.26,180,0
Sr6+2,2.052,90,0
Y_3+3,1.698,109.47,0
Zr3+4,1.564,109.47,0
Nb3+5,1.473,109.47,0
Mo6+6,1.467,90,0
Mo3+6,1.484,109.47,0
Tc6+5,1.322,90,0
Ru6+2,1.478,90,0
Rh6+3,1.332,90,0
Pd4+2,1.338,90,0
Ag1+1,1.386,180,0
Cd3+2,1.403,109,0
In3+3,1.459,109.47,0
Sn3,1.398,109.47,4
Sb3+3,1.407,91.6,3
Te3+2,1.386,90.25,2
I_,1.382,180,0
Xe4+4,1.267,90,0
Cs,2.57,180,0
Ba6+2,2.277,90,0
La3+3,1.943,109.47,0
Ce6+3,1.841,90,0
Pr6+3,1.823,90,0
Nd6+3,1.816,90,0
Pm6+3,1.801,90,0
Sm6+3,1.78,90,0
Eu6+3,1.771,90,0
Gd6+3,1.735,90,0
Tb6+3,1.732,90,0
Dy6+3,1.71,90,0
Ho6+3,1.696,90,0
Er6+3,1.673,90,0
Tm6+3,1.66,90,0
Yb6+3,1.637,90,0
Lu6+3,1.671,90,0
Hf3+4,1.611,109.47,0
Ta3+5,1.511,109.47,0
W_6+6,1.392,90,0
W_3+4,1.526,109.47,0
W_3+6,1.38,109.47,0
Re6+5,1.372,90,0
Re3+7,1.314,109.47,0
Os6+6,1.372,90,0
Ir6+3,1.371,90,0
Pt4+2,1.364,90,0
Au4+3,1.262,90,0
Hg1+2,1.34,180,0
Tl3+3,1.518,120,0
Pb3,1.459,109,4
Bi3+3,1.512,90,3
Po3+2,1.5,90,2
At,1.545,180,0
Rn4+4,1.42,90,0
Fr,2.88,180,0
Ra6+2,2.512,90,0
Ac6+3,1.983,90,0
Th6+4,1.721,90,0
Pa6+4,1.711,90,0
U_6+4,1.684,90,0
Np6+4,1.666,90,0
Pu6+4,1.657,90,0
Am6+4,1.66,90,0
Cm6+3,1.801,90,0
Bk6+3,1.761,90,0
Cf6+3,1.75,90,0
Es6+3,1.724,90,0
Fm6+3,1.712,90,0
Md6+3,1.689,90,0
No6+3,1.679,90,0
Lw6+3,1.698,90,0
N_3+4,0.7,106.7,4
H_OH,0.354,180,0
O_HH,0.658,104.51,2
